PRD_DE,C1_NM,녹지지역 면적 (㎡),도시지역 면적 (㎡),녹지율 (%)
2014,경상북도,1369446101.0,1849864949.0,74.03
2014,광주광역시,372694291.0,480050517.0,77.64
2014,대구광역시,618782830.0,797940177.0,77.55
2014,대전광역시,401802814.0,495258867.0,81.13
2014,부산광역시,554765334.0,940825057.0,58.97
2014,서울특별시,241895036.0,606361456.0,39.89
2014,세종특별자치시,99317087.0,140971318.0,70.45
2014,울산광역시,516314824.0,755598443.0,68.33
2014,인천광역시,287897741.0,576020846.0,49.98
2014,전국,12662057538.0,17596849134.0,71.96
2014,전라남도,1174505877.0,1727641644.0,67.98
2014,전북특별자치도,608117198.0,885675046.0,68.66
2014,제주특별자치도,379012756.0,453171778.0,83.64
2014,충청남도,592178520.0,900758143.0,65.74
2014,충청북도,562987392.0,723468372.0,77.82
2015,강원특별자치도,794860369.0,1022563285.0,77.73
2015,경기도,2610369452.0,3357453240.0,77.75
2015,경상남도,1477490676.0,1896271107.0,77.92
2015,경상북도,1368533499.0,1850243160.0,73.97
2015,광주광역시,372694291.0,480050517.0,77.64
2015,대구광역시,617924513.0,797962749.0,77.44
2015,대전광역시,401052112.0,495546287.0,80.93
2015,부산광역시,547118411.0,940825057.0,58.15
2015,서울특별시,243747702.0,605267992.0,40.27
2015,세종특별자치시,98992747.0,140971433.0,70.22
2015,울산광역시,515739580.0,755550507.0,68.26
2015,인천광역시,287013622.0,575396743.0,49.88
2015,전국,12647111046.0,17613681961.0,71.8
2015,전라남도,1172744289.0,1728970750.0,67.83
2015,전북특별자치도,607912386.0,885497687.0,68.65
2015,제주특별자치도,379012756.0,453171778.0,83.64
2015,충청남도,589217115.0,903409823.0,65.22
2015,충청북도,562687526.0,724529846.0,77.66
2016,강원특별자치도,796360419.0,1027198470.0,77.53
2016,경기도,2609977121.0,3367486105.0,77.51
2016,경상남도,1477619147.0,1889759767.0,78.19
2016,경상북도,1365652259.0,1855416781.0,73.6
2016,광주광역시,361312180.0,481554450.0,75.03
2016,대구광역시,617685996.0,797969025.0,77.41
2016,대전광역시,400967442.0,495546287.0,80.91
2016,부산광역시,546836972.0,940825056.0,58.12
2016,서울특별시,241323140.0,606114295.0,39.81
2016,세종특별자치시,98992747.0,140971433.0,70.22
2016,울산광역시,514751496.0,755545355.0,68.13
2016,인천광역시,288532419.0,580154144.0,49.73
2016,전국,12625688659.0,17609522529.0,71.7
2016,전라남도,1167624600.0,1697909454.0,68.77
2016,전북특별자치도,607423390.0,885721699.0,68.58
2016,제주특별자치도,379012756.0,453171778.0,83.64
2016,충청남도,589130718.0,905131392.0,65.09
2016,충청북도,562485857.0,729047038.0,77.15
2017,강원특별자치도,795311127.0,1027228237.0,77.42
2017,경기도,2609046640.0,3371075153.0,77.4
2017,경상남도,1475224553.0,1892605781.0,77.95
2017,경상북도,1363503396.0,1856748798.0,73.43
2017,광주광역시,359844811.0,480047663.0,74.96
2017,대구광역시,617607324.0,798003179.0,77.39
2017,대전광역시,400939211.0,495546171.0,80.91
2017,부산광역시,546225644.0,940825056.0,58.06
2017,서울특별시,234399725.0,605597491.0,38.71
2017,세종특별자치시,97625665.0,141468621.0,69.01
2017,울산광역시,515285813.0,755551876.0,68.2
2017,인천광역시,288485833.0,580144347.0,49.73
2017,전국,12616653497.0,17635879004.0,71.54
2017,전라남도,1166980043.0,1698905643.0,68.69
2017,전북특별자치도,607036829.0,886474119.0,68.48
2017,제주특별자치도,388951845.0,470411358.0,82.68
2017,충청남도,588785769.0,903897573.0,65.14
2017,충청북도,561399269.0,731347938.0,76.76
2018,강원특별자치도,794355604.0,1028778399.0,77.21
2018,경기도,2609090987.0,3376013136.0,77.28
2018,경상남도,1474575866.0,2007719820.0,73.45
2018,경상북도,1364764124.0,1866786485.0,73.11
2018,광주광역시,358764406.0,480053767.0,74.73
2018,대구광역시,617503124.0,797919337.0,77.39
2018,대전광역시,402981331.0,495818299.0,81.28
2018,부산광역시,546228649.0,940825058.0,58.06
2018,서울특별시,234848783.0,605569314.0,38.78
2018,세종특별자치시,98705006.0,142715907.0,69.16
2018,울산광역시,515078500.0,755545356.0,68.17
2018,인천광역시,287669507.0,579740346.0,49.62
2018,전국,12628463815.0,17788926660.0,70.99
2018,전라남도,1175930564.0,1718429832.0,68.43
2018,전북특별자치도,607914845.0,886474119.0,68.58
2018,제주특별자치도,388960010.0,470628248.0,82.65
2018,충청남도,588537441.0,904905818.0,65.04
2018,충청북도,562555068.0,731003419.0,76.96
2019,강원특별자치도,793902730.0,1028522877.0,77.19
2019,경기도,2603756858.0,3377274307.0,77.1
2019,경상남도,1473933845.0,2008568781.0,73.38
2019,경상북도,1377251002.0,1879985260.0,73.26
2019,광주광역시,358713372.0,480002734.0,74.73
2019,대구광역시,618689902.0,799328917.0,77.4
2019,대전광역시,399318255.0,496123890.0,80.49
2019,부산광역시,544747568.0,940825058.0,57.9
2019,서울특별시,234822576.0,605512630.0,38.78
2019,세종특별자치시,98705006.0,142715907.0,69.16
2019,울산광역시,515264441.0,755545353.0,68.2
2019,인천광역시,294604259.0,529642905.0,55.62
2019,전국,12631888644.0,17763339465.0,71.11
2019,전라남도,1180182382.0,1718458198.0,68.68
2019,전북특별자치도,604066083.0,886379912.0,68.15
2019,제주특별자치도,388960010.0,470628248.0,82.65
2019,충청남도,586246612.0,908086503.0,64.56
2019,충청북도,558723743.0,735737985.0,75.94
2020,강원특별자치도,794017929.0,1029687366.0,77.11
2020,경기도,2600686964.0,3378712218.0,76.97
2020,경상남도,1474005446.0,2004845346.0,73.52
2020,경상북도,1376103929.0,1879972483.0,73.2
2020,광주광역시,357681289.0,480081726.0,74.5
2020,대구광역시,618124429.0,799299015.0,77.33
2020,대전광역시,399332875.0,496123890.0,80.49
2020,부산광역시,544711620.0,940825055.0,57.9
2020,서울특별시,234367642.0,605680193.0,38.69
2020,세종특별자치시,97277636.0,142495482.0,68.27
2020,울산광역시,522035487.0,761731893.0,68.53
2020,인천광역시,293991224.0,529650659.0,55.51
2020,전국,12622450518.0,17769135370.0,71.04
2020,전라남도,1177688806.0,1719363436.0,68.5
2020,전북특별자치도,602061277.0,885633881.0,67.98
2020,제주특별자치도,388270154.0,469737358.0,82.66
2020,충청남도,584391697.0,909043093.0,64.29
2020,충청북도,557702114.0,736252276.0,75.75
2021,강원특별자치도,794197506.0,1030004376.0,77.11
2021,경기도,2579325673.0,3385441488.0,76.19
2021,경상남도,1470869189.0,2007710621.0,73.26
2021,경상북도,1375422427.0,1879078335.0,73.2
2021,광주광역시,357485576.0,479978979.0,74.48
2021,대구광역시,618303816.0,799509757.0,77.34
2021,대전광역시,399332875.0,496123890.0,80.49
2021,부산광역시,544872774.0,940825971.0,57.91
2021,서울특별시,233902078.0,605680264.0,38.62
2021,세종특별자치시,97420469.0,143324836.0,67.97
2021,울산광역시,519945191.0,764204857.0,68.04
2021,인천광역시,293658058.0,529699653.0,55.44
2021,전국,12592483477.0,17786546574.0,70.8
2021,전라남도,1175286666.0,1720423117.0,68.31
2021,전북특별자치도,601892629.0,885638790.0,67.96
2021,제주특별자치도,388270154.0,469737358.0,82.66
2021,충청남도,584473107.0,912069919.0,64.08
2021,충청북도,557825289.0,737094363.0,75.68
2022,강원특별자치도,794115753.0,1030008274.0,77.1
2022,경기도,2575728972.0,3386898994.0,76.05
2022,경상남도,1465596323.0,2007539323.0,73.0
2022,경상북도,1374659977.0,1877732907.0,73.21
2022,광주광역시,357196034.0,479890096.0,74.43
2022,대구광역시,619827688.0,801033747.0,77.38
2022,대전광역시,399332875.0,496123890.0,80.49
2022,부산광역시,543569407.0,940844566.0,57.77
2022,서울특별시,233691182.0,605672952.0,38.58
2022,세종특별자치시,97420469.0,141833041.0,68.69
2022,울산광역시,519620724.0,764212886.0,67.99
2022,인천광역시,294153917.0,527855326.0,55.73
2022,전국,12580824299.0,17791754999.0,70.71
2022,전라남도,1174697856.0,1720488398.0,68.28
2022,전북특별자치도,599364316.0,884641960.0,67.75
2022,제주특별자치도,388270154.0,469737358.0,82.66
2022,충청남도,584483779.0,919129887.0,63.59
2022,충청북도,559094873.0,738111394.0,75.75
2023,강원특별자치도,793264771.0,1004738631.0,78.95
2023,경기도,2555858725.0,3370827754.0,75.82
2023,경상남도,1467107440.0,2009783733.0,73.0
2023,경상북도,1367890979.0,1870996639.0,73.11
2023,광주광역시,356579415.0,479838049.0,74.31
2023,대구광역시,625583154.0,808195732.0,77.4
2023,대전광역시,399332875.0,496123890.0,80.49
2023,부산광역시,543390841.0,940825056.0,57.76
2023,서울특별시,233805758.0,605673772.0,38.6
2023,세종특별자치시,97420469.0,141833041.0,68.69
2023,울산광역시,510647183.0,671649337.0,76.03
2023,인천광역시,291446721.0,512816173.0,56.83
2023,전국,12544815339.0,17589843385.0,71.32
2023,전라남도,1175173262.0,1655892649.0,70.97
2023,전북특별자치도,599407987.0,884488242.0,67.77
2023,제주특별자치도,387946385.0,469737358.0,82.59
2023,충청남도,581081494.0,921188502.0,63.08
2023,충청북도,558877880.0,745234827.0,74.99
