지점번호,시작시각,(현)지점명,(현)주소,위도,경도
258,2010.02.08 00:00:00,보성군,전라남도 보성군 득량면 예당리,34.76335,127.21226
259,2009.11.10 00:00:00,강진군,전라남도 강진군 강진읍 남포리,34.64457,126.78408
260,1972.01.21 00:00:00,장흥,전라남도 장흥군 장흥읍 축내리,34.68886,126.91951
261,1971.02.03 00:00:00,해남,전라남도 해남군 해남읍 남천리,34.55375,126.56907
262,1972.01.22 00:00:00,고흥,전라남도 고흥군 고흥읍 행정리,34.61826,127.27572
263,2010.06.21 00:00:00,의령군,경상남도 의령군 의령읍 무전리,35.32258,128.28812
264,2010.06.21 00:00:00,함양군,경상남도 함양군 함양읍 용평리,35.51138,127.74538
266,2011.01.01 00:00:00,광양시,전라남도 광양시 중동,34.9434,127.6914
268,2014.05.09 21:15:00,진도군,전라남도 진도군 진도읍 남동리,34.47296,126.25846
271,1988.01.01 00:00:00,봉화,경상북도 봉화군 춘양면 의양리,36.94361,128.91449
272,1972.11.28 00:00:00,영주,경상북도 영주시 풍기읍 성내리,36.87183,128.51688
273,1973.01.01 00:00:00,문경,경상북도 문경시 유곡동,36.62727,128.14879
276,2010.09.01 00:00:00,청송군,경상북도 청송군 청송읍,36.4351,129.04005
277,1972.01.03 00:00:00,영덕,경상북도 영덕군 영해면 성내리,36.53337,129.40926
278,1973.01.01 00:00:00,의성,경상북도 의성군 의성읍 원당리,36.3561,128.68864
279,1973.01.01 00:00:00,구미,경상북도 구미시 남통동,36.13055,128.32056
281,1972.01.21 00:00:00,영천,경상북도 영천시 망정동,35.97742,128.9514
283,2010.08.06 00:00:00,경주시,경상북도 경주시 탑동,35.8174,129.2009
284,1972.01.24 00:00:00,거창,경상남도 거창군 거창읍 정장리,35.66739,127.9099
285,1973.01.01 00:00:00,합천,경상남도 합천군 합천읍 합천리,35.56505,128.16994
288,1973.01.01 00:00:00,밀양,경상남도 밀양시 내이동,35.49147,128.74413
289,1972.03.30 00:00:00,산청,경상남도 산청군 산청읍 지리,35.413,127.8791
294,1972.01.24 00:00:00,거제,경상남도 거제시 신현읍 장평리,34.88818,128.60458
295,1972.01.24 00:00:00,남해,경상남도 남해군 이동면 다정리,34.81662,127.92641
296,2023.01.11 00:00:00,북부산,,35.21778,128.96024
